Id,Prediction
1,1
2,1
3,1
4,1
5,1
6,0
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,1
25,1
26,1
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,0
40,0
41,1
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,0
102,1
103,0
104,0
105,0
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,0
136,0
137,1
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,0
147,0
148,1
149,0
150,0
151,1
152,1
153,1
154,0
155,1
156,0
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,0
175,0
176,1
177,1
178,0
179,1
180,1
181,0
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,1
229,1
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,0
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,1
259,0
260,0
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,1
314,1
315,0
316,1
317,0
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,0
335,0
336,1
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,0
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,1
360,0
361,0
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,0
374,0
375,1
376,1
377,0
378,1
379,1
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,0
391,1
392,1
393,0
394,0
395,1
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,0
413,1
414,1
415,1
416,1
417,0
418,1
419,0
420,0
421,0
422,1
423,1
424,0
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,0
437,0
438,1
439,1
440,1
441,1
442,1
443,0
444,1
445,0
446,1
447,1
448,0
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,0
458,1
459,1
460,1
461,1
462,1
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,0
478,1
479,0
480,1
481,1
482,0
483,0
484,0
485,0
486,1
487,1
488,0
489,0
490,1
491,1
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,1
500,0
501,0
502,1
503,0
504,1
505,0
506,0
507,0
508,1
509,0
510,1
511,1
512,0
513,0
514,0
515,0
516,1
517,1
518,0
519,1
520,1
521,0
522,1
523,1
524,1
525,0
526,0
527,1
528,0
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,0
539,0
540,0
541,1
542,0
543,0
544,1
545,1
546,0
547,1
548,1
549,0
550,1
551,0
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,0
565,0
566,0
567,1
568,1
569,0
570,1
571,1
572,1
573,0
574,1
575,0
576,0
577,0
578,0
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,1
588,0
589,0
590,0
591,1
592,1
593,0
594,0
595,0
596,0
597,1
598,0
599,1
600,0
601,1
